resource_name,resource_role,modalities_or_targets,spatial_temporal_scope,associated_model_or_use,primary_source_url,access_url,access_status,notes
fMoW-Sentinel,Pretraining dataset,Sentinel-2 multispectral imagery and short temporal stacks,Global image chips with Sentinel-2 sampling,SatMAE and SatMAE++,https://proceedings.neurips.cc/paper_files/paper/2022/hash/01c561df365429f33fcd7a7faa44c985-Abstract-Conference.html,,Primary description linked,Dataset use is recorded from the model paper; verify redistribution terms with the provider.
MillionAID,Pretraining dataset,High-resolution optical imagery,One million global scenes at mixed spatial resolutions,RSP and BFM,https://ieeexplore.ieee.org/document/9956816,,Primary description linked,Also used within later optical pretraining mixtures.
SatlasPretrain,Pretraining dataset and labels,NAIP and Sentinel-2 imagery with multisource labels,Global high- and medium-resolution samples,SatlasPretrain and Panopticon,https://openaccess.thecvf.com/content/ICCV2023/html/Bastani_SatlasPretrain_A_Large-Scale_Dataset_for_Remote_Sensing_Image_Understanding_ICCV_2023_paper.html,https://github.com/allenai/satlas,Provider repository linked,Contains imagery and label products with source-specific terms.
GeoPile,Pretraining data collection,High- and medium-resolution optical imagery,Global multisource collection,GFM,https://ieeexplore.ieee.org/document/10376630,,Primary description linked,Collection-level provenance should be checked against each constituent dataset.
SSL4EO-L,Pretraining dataset,Landsat 4--9 multispectral imagery,Five million multiseason global patches,SSL4EO-L,http://arxiv.org/abs/2306.09424,https://huggingface.co/datasets/torchgeo/ssl4eo_l,Provider dataset page linked,Designed for long-record Landsat representation learning; the paper also documents access through TorchGeo.
Harmonized Landsat Sentinel-2,Pretraining and EO input,Surface reflectance time series,Global 30 m harmonised Landsat and Sentinel-2 observations,Prithvi-EO-1.0 and Prithvi-EO-2.0,http://arxiv.org/abs/2310.18660,https://hls.gsfc.nasa.gov/,Official programme page linked,Product versions and cloud-quality filtering should be recorded in downstream studies.
CROMA paired Sentinel-1/2 corpus,Pretraining dataset,Sentinel-1 GRD and Sentinel-2 L2A,One million matched global samples,CROMA,https://proceedings.neurips.cc/paper_files/paper/2023/hash/11822e84689e631615199db3b75cd0e4-Abstract-Conference.html,,Primary description linked,Supports radar--optical alignment.
MMEarth,Pretraining dataset,Sentinel-2 with Sentinel-1 DEM climate and land-cover variables,Global multimodal samples,MMEarth and MMEarth-Bench,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/7588_ECCV_2024_paper.php,,Primary description linked,Derived environmental inputs require target-leakage checks in downstream evaluation.
SpectralEarth,Pretraining dataset,EnMAP hyperspectral reflectance,Globally distributed 30 m hyperspectral patches,SpectralEarth and Panopticon,https://ieeexplore.ieee.org/document/11045062,,Primary description linked,Snapshot hyperspectral coverage.
TerraMesh,Pretraining dataset,Sentinel-1/2 DEM NDVI land cover captions and location,Global aligned multimodal samples,TerraMind,https://openaccess.thecvf.com/content/ICCV2025/html/Jakubik_TerraMind_Large-Scale_Generative_Multimodality_for_Earth_Observation_ICCV_2025_paper.html,,Primary description linked,Generated modalities require radiometric and process-consistency tests.
MillionST,Pretraining dataset,Sentinel-2 time series,Five-year global time-series samples,TiMo,http://arxiv.org/abs/2505.08723,,Primary description linked,Temporal sampling density conditions event sensitivity.
TESSERA annual embeddings,Served embedding product,Sentinel-2-derived annual representation fields,10 m annual embeddings,TESSERA,http://arxiv.org/abs/2506.20380,,Primary description linked,Annual compression conditions sensitivity to short-lived events.
AlphaEarth Satellite Embedding,Served embedding product,Optical SAR lidar and geospatial or text context,Global 10 m annual embedding fields,AlphaEarth Foundations,http://arxiv.org/abs/2507.22291,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_SATELLITE_EMBEDDING_V1_ANNUAL,Official Earth Engine catalogue linked,Record product version pooling update schedule and licence in each evaluation.
CrossEarth-SAR-200K,Pretraining dataset,SAR imagery with physical descriptors,200000 SAR samples,CrossEarth-SAR,http://arxiv.org/abs/2603.12008,,Primary description linked,Physics-guided descriptors are part of the representation pathway.
EnMAP hyperspectral spectra,Pretraining dataset,Hyperspectral surface reflectance,188 million spectra at 30 m,HySens,https://ieeexplore.ieee.org/document/11514078,https://www.enmap.org/data_access/,Official mission access page linked,Downstream direct evidence remains narrow and snapshot-based in the review.
