zotero_key,date,year,title,abstract,doi,item_type,publication_status,inclusion_status,application_family,model_group,evidence_tier,evidence_role,pathway,validation_scope,reference_directness,evidence_direction
V35QPP4D,2026-05-14,2026,AlphaEarth Foundations (AEF) in Earth Observation: A Systematic Review of Applications and Practices,"AlphaEarth Foundations (AEF) unifies multi-modal and multi-temporal observations into analysis-ready low-dimensional representations, introducing a representation-driven paradigm that addresses key limitations of traditional task-centric approaches, including high engineering complexity, limited cross-regional transferability, and strong dependence on labeled data. This paper presents the first systematic review of AEF, synthesizing 23 research articles published up to March 2026 from three perspectives: conceptual positioning, technical framework, and application practices. It first clarifies the distinctions between AEF and related paradigms, including foundation models, remote sensing large models, and existing unified embedding approaches. It then summarizes the organization of its data system and key technical components. Based on a systematic literature survey, the paper further provides a structured synthesis of current studies in terms of thematic and regional distribution, scientific questions, usage patterns, and evaluation methods. The analysis indicates that AEF represents an important step toward a paradigm shift from task-driven to representation-driven Earth observation, offering clear advantages in reducing engineering barriers, enabling cross-regional transfer, and establishing a unified environmental semantic foundation. However, limitations remain in temporal resolution, semantic interpretability, and performance in specific task scenarios. Future work should focus on enhancing dynamic representation capabilities, cross-domain adaptation mechanisms, multi-source integration frameworks, systematic evaluation and annotation systems, and asset-oriented applications. By delineating the capability boundaries and applicable contexts of AEF from both methodological and empirical perspectives, this study provides a systematic reference for the standardized development and rational application of unified surface embeddings as an emerging geospatial information infrastructure.",10.20944/preprints202605.0981.v1,preprint,Preprint,Review/context only,Review/context,AlphaEarth,,,,,,
QHK79B6G,2025-01-01,2025,Fine-Tuning the Prithvi Foundation Model for Crop-Type and Health Mapping in Smallholder Farms,"Artificial intelligence is rapidly reshaping how we monitor and manage agriculture from space. In this study, we fine-tune and evaluate a state-of-the-art vision foundation model, Prithvi-EO-2.0, for crop type classification and crop health monitoring across smallholder farms in Telangana, India. Leveraging temporally stacked satellite imagery, we assess the effectiveness of different fine-tuning strategies and address challenges related to fragmented landholdings and limited ground truth data. Our results demonstrate that fully fine-tuning the model significantly improves crop classification accuracy but requires careful handling of class imbalance to prevent overfitting. We discuss limitations arising from spatial resolution constraints and propose future directions using higher-resolution alternatives, emphasizing the potential of adapting large-scale pretrained models to deliver scalable and practical precision agriculture solutions in data-limited, heterogeneous smallholder systems.",10.1016/j.procs.2025.09.632,journalArticle,Peer reviewed,Primary evidence,Agriculture & food systems,Prithvi,Tier 3,Model paper with applications,Fine-tuning / PEFT,Within-domain / unclear,Product / mapped label,Mixed / conditional
7QDQAZFU,2026-08-01,2026,Above-ground Biomass Estimation with Geospatial Foundation Models,"Accurate estimation of Above-Ground Biomass (AGB) from satellite imagery is essential for the large-scale monitoring of carbon stocks, yet it remains a challenging regression task at global scale. Geospatial Foundation Models (GFMs) have recently emerged as a promising machine learning paradigm to derive general-purpose representations from Earth observation data, but their utility for quantitative regression tasks like biomass estimation remains largely unexplored, as most benchmarks emphasize classification and segmentation. Here, we present a comprehensive benchmark of GFMs for global-scale AGB estimation using the AGBD dataset, a machine learning-ready benchmark spanning diverse biomes and geographies. We distinguish two ways in which GFMs reach practitioners: (i) models distributed as weights to be run by the user, which we evaluate as frozen encoders within the PANGAEA benchmarking framework; and (ii) models distributed as ready-to-use, pre-computed embedding products, for which we evaluate AlphaEarth Foundations (AEF) and TESSERA. We compare $11$ GFMs available on PANGAEA and both embedding products against a fully supervised state-of-the-art (SOTA) model, assess their geographical and temporal generalization abilities, as well as agreement with the ESA CCI biomass product on independent reference data. Our results show that GFMs run as frozen encoders substantially underperform with respect to the supervised SOTA model, whereas pre-computed embedding products prove highly effective. An MLP trained on AEF embeddings outperforms the supervised SOTA model trained on AGBD features, and the same SOTA model trained on AEF embeddings (optionally augmented with selected raw features) achieves the best overall result, while also generalizing better across space and time. These findings indicate that frozen GFM features can be highly informative for biomass regression when the underlying model is trained on rich multi-modal data and its outputs are distributed as an accessible embedding layer.",10.2139/ssrn.7213886,preprint,Preprint,Primary evidence,"Vegetation, carbon & fuels",Multi-model,Tier 2,Benchmark,Feature extraction,Geographic + temporal,Product / mapped label,Mixed / conditional
NHLEGII5,2026-04-15,2026,Integration of Google’s Alpha Earth Foundations into biomass estimation combined with GEDI spaceborne lidar and field inventory data,"The temporal harmonization of Earth Observation datasets into numerical embeddings at the global scale and at high resolution over time is ground-breaking. Using Google’s Alpha Earth Foundations (AEF) product over Spain we estimate and predict biomass comparing the performance of two reference datasets: estimates from GEDI at the footprint level and enhanced-geolocated field inventory plots. These measurements, biomass estimates from GEDI and AEF reference year matched in time for out study area - the largest region in Spain. Biomass estimates for AEF showed moderate-low errors (mean % RMSE in calibrations = 0.31) when using inventory plots although. For the GEDI-based calibration strategy, errors were larger (0.38) but for some sub-jurisdictions the performance was nearly identical. We found a ∼20 % error increase in the interval validation in both cases. The embeddings that most contributed to explain biomass were common in the two alternatives, showing consistency across the experiment and reference results for upcoming studies. Our biomass predictions were further validated using independent estimates from canopy height information – airborne lidar and imputed waveforms. Calibrating AEF with inventory plots matched the accuracy of biomass predicted from on-orbit GEDI biomass models and precise lidar-simulated canopy structure used as predictor. Our results showed that AEF trained with field plots can be a promising solution to maximize NFI datasets for large-scale biomass mapping at yearly periodicities. Where biases in GEDI biomass models are low - or where field plot data is not available - biomass estimates from GEDI are can train AEF with sufficiency and over time - increasing the limited temporal range that NFI measurements offer – expanding the ability of GEDI data users to generate carbon biomass to support forest management and conservation among other many GEDI data applications.",10.1016/j.foreco.2026.123550,journalArticle,Peer reviewed,Primary evidence,"Vegetation, carbon & fuels",AlphaEarth,Tier 2,Application study,Fusion / similarity,Geographic,Mixed,Positive
THXSIXUW,2026-04-08,2026,Transformer-based mapping of 10 m spatiotemporally seamless daily urban evapotranspiration using geospatial foundation embeddings,"Urban evapotranspiration (ET) plays a critical role in regulating urban heat and governing water–energy exchanges. However, high-resolution ET estimation across entire cities remains challenging due to pronounced surface heterogeneity, which limits the applicability of physical models originally developed for homogeneous natural surfaces. Moreover, satellite-derived ET estimates are often spatially and temporally fragmented due to their dependence on clear-sky conditions and long revisit intervals. To address these limitations, we propose a transformer-based framework for generating spatiotemporally seamless, daily urban ET maps at 10 m resolution. The framework integrates 10 m vegetation greenness from Sentinel-2 NDVI, Google satellite embedding data, and gap-free daily meteorological variables (precipitation, air temperature, and radiation etc.). A key advantage of the proposed method is its use of a group-to-token transformer encoder, which learns nonlinear interactions among atmospheric demand, surface structure, and vegetation dynamics without requiring explicit urban parameterization. The model is trained on time-series observations from 64 globally distributed FluxNet towers and an urban flux site in Shenzhen, where the flux data are gap-free and suitable for continuous daily modeling. The trained model performs well, with an overall R² of 0.92 and RMSE of 0.37 mm d⁻¹. Comparative analyses further indicate that the proposed framework reduces RMSE by approximately 16% and improves spatial discrimination in heterogeneous urban settings. The trained model was applied to Shenzhen, China, generating a spatiotemporally seamless daily urban ET dataset at 10 m resolution for 2017–2024. Validation confirms the reliability of the approach for urban ET mapping, with a mean R² of 0.56 and RMSE of 0.45 mm d⁻¹. Overall, this study establishes a practical pathway for producing cloud-gap-free, 10 m daily urban ET estimates by integrating routinely available reanalysis data with satellite-derived geospatial embeddings. The framework robustly captures intra-urban heterogeneity, supports seasonal to interannual analyses and pixel-wise trend detection, and enables scalable applications in urban hydroclimate research and planning.",10.2139/ssrn.6539464,preprint,Preprint,Primary evidence,"Water, energy & climate states",AlphaEarth,Tier 2,Application study,Fusion / similarity,Temporal,Mixed,Positive
G9LASAGD,2026,2026,Foundation-Scale Satellite Embeddings Reframe Hydrological Generalization as a Representation Problem,"A persistent challenge in hydrological modeling is reliably transferring predictive skill across time and among basins that appear distinct based on conventional static attributes. Here we address this challenge by leveraging Google's newly released data set generated from the AlphaEarth Foundations model, providing 64-dimensional satellite embeddings (SE) that encode dynamic surface characteristics. Evaluated over 455 Australian catchments (2017–2022), SE-enhanced models consistently outperform static-attribute baselines. Temporal gains are most pronounced in regions under intense human disturbance, where median relative error reduction (RER) reaches 11.5%, reflecting reduced mismatch between static representations and evolving land-surface states. Overcoming the fragmentation caused by discrete static attributes, SE reshapes the feature space into a continuous, globally connected representation, yielding a median RER of 32.1% for the most isolated basins. These results indicate that foundation-scale embeddings fundamentally shift hydrological generalization from parameter transfer toward representation learning, offering a new pathway for robust prediction under nonstationary conditions.",10.1029/2025GL121604,journalArticle,Peer reviewed,Primary evidence,Hydrological modelling,AlphaEarth,Tier 2,Application study,Fusion / similarity,Geographic + temporal,Direct / in situ,Positive
E8MMUGSV,2025-12-01,2025,"Dimensionality optimized machine learning retrieval of canopy chlorophyll, nitrogen, and phosphorus from google satellite embeddings","Long-term studies show that canopy chlorophyll, nitrogen, and phosphorus differ in spectral signatures and retrieval stability. This work assessed the retrieval of these biochemical parameters from a global 64-dimensional Google satellite embedding at 10 m resolution over maize parcels at the Kellogg Biological Station in Michigan, USA. Strategies were employed to compress the embedding into compact, information-rich subsets. Eleven machine learning regressors were applied across four workflows, each implementing distinct approaches to control dimensionality and enhance interpretability under a unified cross-validation framework. Results showed that Consensus Importance-Ranked Band Selection (CIRBS) achieved the highest accuracy for canopy chlorophyll (CCC) and nitrogen (CNC), while Variance-Ordered Principal Component Subset Selection (VOPSS) performed best for canopy phosphorus (CPC). Baseline workflows using full-band or fixed PCA representations exhibited lower performance. Accuracy saturated rapidly in both workflows: 17–33 bands for CIRBS and 5–14 principal components for VOPSS captured nearly all predictive information. A compact set of embedding channels (A57, A51, A00, A15, A48, A61) ranked highest across models and targets, indicating that key pigment, structural, and phenological contrasts were preserved in the learned 64-feature space. Regularized linear models (Ridge and ElasticNet) consistently outperformed ensemble and kernel methods. The embedding pre-compressed key vegetation contrasts into an analysis-ready vector, enabling compact models (R² = 0.83 – 0.93, NRMSE = 0.08 – 0.11) that supported efficient tiled inference and treatment-level differentiation. This framework provides accurate, interpretable, and scalable solutions for field-scale biochemical mapping and precision agriculture decision-making.",10.1016/j.atech.2025.101601,journalArticle,Peer reviewed,Primary evidence,"Vegetation, carbon & fuels",AlphaEarth,Tier 2,Application study,Retrieval,Within-domain / unclear,Mixed,Positive
EWRF3XDG,2026-7-6,2026,Distilling Geospatial Foundation Model semantics into interpretable Sentinel-1/2 proxies for few-shot and cross-year crop type classification,"Geospatial Foundation Models (GFMs) show strong generalization across Earth observation tasks, but their direct use in agricultural monitoring can be constrained when foundation-model embedding products are not available for a given year or observation window. We propose a physically grounded semantic distillation framework that transfers GFM semantics to standard satellite features. We hypothesize that selected GFM embedding dimensions can be approximated from interpretable physical proxies. Using Lasso regression, we reconstruct selected AlphaEarth Foundations (AEF) embedding dimensions from a sparse set of Sentinel-1/2 temporal features and identify the most influential proxy variables. On maize–soybean mapping in the U.S. Corn Belt, the distilled features closely approximate AEF’s discriminative performance while achieving high reconstruction fidelity. In cross-year transfer without target-year supervision, the distilled features consistently outperform the multi-modal satellite baseline across labeled-sample budgets; under the lowest sample budget, the proposed method achieves an overall accuracy of 93.33%, compared with 83.90% for the multi-modal satellite baseline. These results indicate that lightweight and interpretable proxy models can retain a substantial portion of the cross-year generalization advantage of foundation-model representations, providing a practical alternative for few-shot classification and cross-year monitoring.",10.1080/20964471.2026.2691477,journalArticle,Peer reviewed,Primary evidence,Agriculture & food systems,AlphaEarth,Tier 3,Application study,Probe / reconstruction,Temporal,Product / mapped label,Positive
E4T55VP8,2026-7-27,2026,A multimodal geospatial foundation model anticipates crop stress and yield failure across climates and species,"Introduction Climate extremes increasingly threaten agricultural production, yet many artificial intelligence systems in agriculture remain local, reactive and narrowly trained for one crop, region or sensing modality. Methods We present AgriFM, a multimodal geospatial foundation model that combines satellite image time series, radar, thermal observations, weather trajectories, soil properties, topography and sparse management variables to estimate crop-stress and yield-failure risk across crops and regions. AgriFM was pretrained using self-supervised objectives on 2.4 million field-season sequences and evaluated on a curated benchmark spanning maize, wheat, soybean, rice and sorghum across five agroclimatic regions. Results In held-out geography and time-split evaluations, AgriFM improved early stress detection and yield-failure prediction over statistical, crop-model and deep-learning baselines. The largest gains occurred during compound drought and heat events, for which AgriFM produced alerts 18 to 24 days earlier than the satellite-only baseline while maintaining improved calibration. Phenology-conditioned fusion improved transfer across planting calendars, and uncertainty calibration reduced false alerts at fixed recall. Discussion Because the study is based on retrospective datasets, these findings establish cross-region retrospective performance rather than prospective field efficacy. The results support further field-based evaluation of multimodal foundation models for climate-resilient crop monitoring.",10.3389/fpls.2026.1883297,journalArticle,Peer reviewed,Primary evidence,Agriculture & food systems,Other EOFM,Tier 3,Benchmark,Fine-tuning / PEFT,Geographic + temporal,Mixed,Positive
JTASTTKF,2026,2026,Zero-Shot Satellite Image Retrieval through Joint Embeddings: Application to Crisis Response,"Semantic search of Earth observation archives remains challenging. Visual foundation models such as CLAY produce rich embeddings of satellite imagery but lack the natural-language grounding needed for intuitive query, and full contrastive training of a remote-sensing CLIP-style model requires paired data and compute that are unavailable at global scale. To allow natural language querying at global scales, we present GeoQuery, a zero-shot retrieval system that sidesteps data and compute constraints through a two-stage semantic and visual search, leveraging a natural language embedding of a subset (proxy) of global data. Rather than training a joint encoder, we generate language descriptions for a 100k proxy subset of global Sentinel-2 tiles and optimise the description-generation prompt so that distances in the resulting text-embedding space correlate with distances in the frozen CLAY visual-embedding space. Queries are resolved in two stages, with a text-similarity search over the proxy subset followed by a visual nearest-neighbour search over worldwide CLAY embeddings On 76 disaster-location queries covering UK floods, US wildfires, and US droughts, GeoQuery achieves 31.6\% accuracy within 50\,km, with the strongest performance on floods (50\% within 50\,km) where terrain features are well captured by RGB embeddings. Deployed within a crisis response system called \ECHO{}, GeoQuery identified vulnerable areas during Brisbane's 2025 Cyclone Alfred, with downstream flood simulations reproducing historical patterns. Prompt-aligned proxies offer a practical bridge between EO foundation models and operational retrieval when full contrastive training is out of reach.",10.48550/arxiv.2605.05405,preprint,Preprint,Primary evidence,Disturbance & hazards,Clay,Tier 3,Application study,Retrieval,Geographic,Product / mapped label,Mixed / conditional
