resource_name,resource_role,targets_or_measurements,spatial_temporal_scope,primary_reference,access_url,evidentiary_note
FLUXNET2015,Independent observations and derived fluxes,Carbon dioxide water-vapour and energy exchange with partitioned flux products,Half-hourly to multiyear tower footprints,https://fluxnet.org/data/fluxnet2015-dataset/,https://fluxnet.org/data/fluxnet2015-dataset/,Flux partitioning footprint mismatch quality control and network sampling should be propagated into evaluation.
PLUMBER2,Land-model evaluation dataset,Flux-tower water energy and carbon variables,1040 site-years from 170 flux towers,https://doi.org/10.5194/essd-14-449-2022,https://doi.org/10.5194/essd-14-449-2022,Harmonised tower data support process and model evaluation across sites.
STEMMUS-SCOPE dataset,Physically consistent model-evaluation dataset,Hydrological photosynthetic and radiative variables,Site-scale outputs evaluated with PLUMBER2 fluxes and FLUXNET2015 soil moisture,https://doi.org/10.1038/s41597-025-05386-x,https://doi.org/10.1038/s41597-025-05386-x,Model-derived variables and observation-based evaluation layers have distinct evidentiary roles.
FluxHourly,Upscaled benchmark context,Water energy and carbon fluxes,Hourly 9 km global estimates for 2000--2020,https://doi.org/10.5194/essd-17-7101-2025,https://doi.org/10.5194/essd-17-7101-2025,Integrates simulations tower observations EO meteorology and machine learning.
GeoNEX Coincident Ground Observations,EO-to-site collocation resource,Geostationary EO with energy carbon and water observations,5--10 min observations over 1586 network sites across the Americas,https://doi.org/10.5194/essd-18-397-2026,https://doi.org/10.5194/essd-18-397-2026,Supports diurnal dynamics and explicit EO-to-ground support matching.
International Soil Moisture Network,Independent in situ network,Soil moisture and ancillary station information,Subdaily multiyear point and profile observations across networks,https://doi.org/10.5194/hess-25-5749-2021,https://ismn.earth/en/,Upscaling representativeness and station-network sampling require explicit treatment.
OpenET,Operational retrieval and model ensemble,Evapotranspiration,Field to regional products for the western United States,https://doi.org/10.1111/1752-1688.12956,https://openetdata.org/,Provides an operational product reference with inherited model and input assumptions.
CropClimateX,Public agricultural benchmark resource,Crop yield planted and harvested area production management and climate,United States county-level records for 2018--2022,https://doi.org/10.1038/s41597-026-06611-x,https://doi.org/10.1038/s41597-026-06611-x,County support limits inference for within-field management outcomes.
WorldTensor,Foundation-model data infrastructure,Hundreds of environmental and socioeconomic variables,Global annual 0.25-degree harmonised grid,https://doi.org/10.1038/s41597-026-07913-w,https://doi.org/10.1038/s41597-026-07913-w,Supports planetary context and interannual tests; common-grid aggregation limits event-scale validation.
FluxCubes30,EOFM-oriented process dataset,GPP EVI and pixel-level uncertainty,30 m cubes and 7 km cutouts around 404 flux-tower landscapes for 1999--2025,https://doi.org/10.5281/zenodo.21869161,https://doi.org/10.5281/zenodo.21869161,Cross-calibrated Landsat and tower-footprint matching support fine-scale carbon-dynamics evaluation.
